Name,Country,Status,Formed In,Genre,Theme,Active,Spotify Popularity,Total Followers On Spotify
Democide Inc.,Italy,Active,2012,Thrash/Death Metal,Conspiracy| Corruption| War| Violence| Social,2012-present,0,0
Demodeus,Spain,Active,2010,Death/Groove Metal,Politics| Death| Doom,2011-present,0,0
Demogorgon,Mexico,Split-up,1988,Death Metal/Grindcore,Magic| Ritual| Death,1988-?,0,0
Demogorgon,United States,Split-up,1987,Death/Thrash Metal,Unknown,1987-1989,0,0
Demolidor,Brazil,Active,1988,Death/Black Metal,Daily Life / Brazilian Northeast Situation,1988-present,0,0
Demolisher,Finland,Active,2005,Death/Thrash Metal,Dark Side of Human Mind,2005-present,12,3807
Demolishment,Brazil,Active,2010,Death/Thrash Metal,Repression| Aggression| Vengeance| Society,2010-present,0,71
Demolition Day,United States,Active,2007,Thrash/Death Metal,Unknown,2007-present,0,0
Demon Eyes,United States,Unknown,1999,Death Metal with Gothic Influences,Unknown,1999-?,0,0
Demon Semen and the Grind Dogs,United States,Active,2007,Death Metal/Grindcore,Unknown,2007-present,0,0
Demon Wind,United States,On hold,2005,Death/Black Metal,Unknown,2005-?,0,0
Demon's Flesh,Argentina,Split-up,2004,Death/Thrash Metal,Anti-Christianity| Caliginous Poetry| Satanism,2004-2012,0,0
Demonbreed,United Kingdom,Split-up,2003,Thrash/Death Metal,Unknown,2003-?,5,841
Demoniac Flesh,Colombia,Active,2008,Black/Death Metal,War| Anti-Christianity,2008-present,0,0
Demoniac Infected,Argentina,Active,2002,Black/Death Metal,Death| Satan,2002-present,0,0
Demoniarch,United States,Split-up,2007,Black/Death Metal,Unknown,2007-2009,0,0
Demonic Domain,United States,Unknown,2004,Death Metal/Grindcore,Misanthropy| Esotericism,2004-?,0,0
Demonic Obedience,United Kingdom,Active,2013,Death/Black Metal,Unknown,2013 (as The Deepest)| 2013-present,0,0
Demonic Orgy,United States,Split-up,1999,Death Metal/Grindcore,Unknown,1999-?,0,0
Demonic War,Spain,Split-up,2004,Black/Death Metal,Satanism,2004-2012,0,0
Demonicide,United States,Unknown,n,Death/Thrash Metal,Unknown,,0,0
Demonio,United States,Active,1993,Death/Thrash Metal,Death| Vengeance| Hatred,1993-present,0,0
Demonisium,Mexico,Active,2006,Black/Death Metal,Occultism| Luciferianism| Chaosophy| Anti-Christianity| Esotericism,2006-2007| 2011-present,0,0
Demonium,France,Active,2000,Black/Death Metal,Unknown,2000-present,0,0
Demonized,Mexico,Unknown,2000,Black/Death Metal,Satanism,2000-?,0,0
Demonoid,Sweden,Active,2000,Death/Thrash Metal,Fantasy| Theology,2000-present,0,0
Demonomancer,El Salvador,Active,2012,Black/Death Metal,Satanism| Blasphemy,2012-present,0,0
Demonomancy,Italy,Active,2008,Black/Death Metal,Satanism| Rituals| Demons,2008-present,0,0
Demonomancy,Spain,Changed name,2007,Death/Black Metal,Destruction| Chaos| Suffering| War| Satanism,2007-2008| 2014-present (as Deathcraft),0,0
Demonother,Australia,Split-up,2002,Death Metal/Grindcore,Unknown,2002-2005,0,0
Demonraised,Portugal,Active,2012,Black/Death Metal,Satanism| Ocultism| Inner Strength,2012-present,0,12
Demons Within,United States,Active,2008,Groove/Death Metal,Unknown,2008-present,0,0
Demonspawn,Australia,Split-up,2004,Death/Thrash Metal,Unknown,2004-?,0,0
Demonthrone,Canada,Split-up,2004,Death/Thrash Metal,Satan| Slaughter| Witches| Zombies| Sacrifice,2004-?,0,0
Demoralized,Iceland,Split-up,2001,Death Metal/Grindcore,Unknown,2001-?,0,0
Demoralizer,United States,Unknown,2010,Death Metal/Grindcore,Unknown,2010-?,0,0
Demord,Russia,Active,2008,Death/Thrash Metal,Unknown,2008-present,0,0
Denata,Sweden,Active,1998,Death/Thrash Metal,Violence| Personal thoughts,1998-2003| 2014-present,0,0
Dendritic Spines,United States,Active,n,Thrash/Death Metal,Unknown,,0,0
Denet,Czech Republic,Active,1984,Thrash/Death Metal,Unknown,1984-1995| 2000-present,0,0
Denial,Guatemala,Split-up,1989,Death/Thrash Metal,Unknown,1989-?,1,265
Denial,Guatemala,Split-up,1989,Death/Thrash Metal,Unknown,1989-?,0,9
Denial,New Zealand,Changed name,1993,Death/Thrash Metal,Society| Religion,1993-2000| 2000-2003 (as Falciform),1,265
Denial,New Zealand,Changed name,1993,Death/Thrash Metal,Society| Religion,1993-2000| 2000-2003 (as Falciform),0,9
Denial Fiend,United States,Active,2006,Death/Thrash Metal,Horror,2006-present,1,309
Denicalis,Sweden,Split-up,2006,Black/Death Metal,Hate,2006-2012,0,0
Denigrated,Colombia,Split-up,2003,Death Metal/Grindcore,Funny People| Midgets| Bizarre,2003-?,0,0
Denounce,United Kingdom,Split-up,2004,Death/Thrash Metal,Unknown,2004-2010,0,0
Denouncement Pyre,Australia,Active,2003,Black/Death Metal,War| Death| Satanism| Barbarism| Heathenism| Hate,2003-present,8,3017
Density,United States,Split-up,2002,Death/Groove Metal,Unknown,2002-?,0,0
Deny Reality,Germany,Unknown,2003,Thrash/Death Metal,Unknown,1994-2003 (as Nightporter)| 2003-?,0,0
Deodium,Latvia,Active,2009,Death/Thrash Metal,Hope| Struggles,2009-present,0,0
Deona Cart Deluna,Malaysia,Active,2006,Death/Thrash Metal,Unknown,2006-present,0,0
Deos,France,Active,2014,Black/Death Metal,Roman Empire| Ancient Rome,2014-present,0,0
Departure,Netherlands,Split-up,2006,Thrash/Death Metal,Aggression| Society| Retrospect,2006-2011,0,0
Depletion,Pakistan,Split-up,2009,Death/Thrash Metal,Unknown,2009-2011,0,0
Depopulation,Mexico,Active,2009,Death Metal/Grindcore,Unknown,2009-present,0,33
Depravity,Germany,Split-up,1999,Death/Black Metal,Unknown,1999-2012,9,3402
Depravity,Germany,Split-up,2004,Death Metal/Metalcore,Unknown,2004-?,9,3402
Depredator,Mexico,Split-up,2006,Death Metal/Grindcore,Unknown,2006-?,0,0
Depremacy,United States,Active,2010,Death/Thrash Metal,War| Death| Satan,2010-present,0,0
Depression,Germany,Active,1989,Death Metal/Grindcore,Depressive themes,1989-present,0,0
Depression,Russia,Unknown,1993,Doom/Death Metal,Unknown,1993-2001| 2007-?,0,0
Depressive Reality,Czech Republic,Split-up,1995,Death/Black Metal,Death| Mortality,? (as Menstruation)| 1995-?,0,0
Depressive World,Germany,Split-up,1995,Death/Gothic Metal,Unknown,1995-?,0,0
Deprive,Spain,Active,2013,Death/Doom Metal,Death| Satanism| Occultism| Ancient myths,2013-present,0,0
Der Tod,Germany,Split-up,n,Death/Black Metal,Unknown,,0,0
Deranged Chamber,Australia,Active,2010,Thrash/Death Metal,Hell| Satan| War| Horror| Mythology,2010-present,0,0
Deranged Insane,Brazil,Active,2000,Death Metal/Grindcore,Nihilism,2000-present,0,0
Deratizator,Slovenia,Split-up,1999,Death/Thrash Metal,Unknown,1999-2001,0,0
Derb Forgaill,France,Active,2004,Death/Thrash Metal,Unknown,2004-present,0,0
Dereistic,United States,Split-up,1999,Death/Thrash Metal,Sadness| Anger,1999-?,0,0
Derkéta,United States,Active,1988,Death/Doom Metal,Death| Nightmares| Curses,1988-1991| 1997| 1999-present,0,0
Desakralised,Belgium,Active,2007,Black/Death Metal,Unknown,2005-2007 (as Neverkrist)| 2007-present,0,0
Desalma,Brazil,Active,2007,Death/Thrash Metal,Society| Politics| Death| Violence,2007-present,0,0
Desaster,Brazil,Active,1986,Thrash/Death Metal,Psyco| War| Politics| Destruction| Misery| Society,1986-1991| 2011-present,0,0
Descarna,Mexico,Active,2006,Death/Thrash Metal,Unknown,2006 (as Hellrad)| 2006-present,0,0
Descartar,Germany,Split-up,2007,Death/Thrash Metal,Death,2007-2009,0,0
Descend,Australia,Split-up,2000,Thrash/Death Metal,Unknown,2000-?,11,3172
Descendant,United States,Changed name,2006,Death/Thrash Metal,Human oppression| undead,2006-2013| 2013-present (as Brutalody),0,0
Descendency,United States,Active,n,Death/Thrash Metal,Unknown,,0,0
Descending,Sweden,On hold,2003,Death/Black Metal,Anti-Christianity,2003-?,0,0
Descensus,Denmark,Active,2002,Death/Thrash Metal,Unknown,2002-present,0,0
Descent,United Kingdom,Split-up,1998,Thrash/Death Metal,Unknown,1998-2009,0,0
Desdominus,Brazil,Active,1993,Death/Black Metal,Iconoclasm| Atheism| Anti-religion| Freedom,1993-present,4,989
Desecrate,Belarus,Split-up,n,Death/Thrash Metal,Unknown,,0,0
Desecrate,Czech Republic,Split-up,1994,Death/Doom Metal,Unknown,1994-?,0,0
Desecrated Dreams,Slovakia,Split-up,1996,Death/Black Metal,Unknown,1996-2013,0,0
Desecrater,United States,Active,2006,Death/Thrash Metal,Life issues,2006-present,0,0
Desecration,Brazil,Active,1991,Death Metal/Grindcore,Unknown,1991-present,5,1265
Desecration,Indonesia,Split-up,1994,Black/Death Metal,Satanism| Death,1994-?,5,1265
Desecration,Poland,Split-up,1992,Death Metal/Grindcore,Relligion| Life| Love,1992-?,5,1265
Desecration,United States,Split-up,1984,Death/Thrash Metal,Unknown,1985-1989,5,1265
Desecration Rites,Argentina,Split-up,2008,Death/Black Metal,Anti-Christianity,2008-?,0,0
Desecrator,France,Active,1995,Death Metal/Grindcore,Gore| Humour,1995-present,9,1974
Desecrator,Netherlands,Split-up,1988,Death/Thrash Metal,Destruction| Hatred,1988-?,9,1974
Desecreacíon,Chile,Active,n,Death/Black Metal,Satanism,,0,0
Desekration,Germany,Changed name,1998,Black/Death Metal,Hate| Anti-Christianity,1998-2000| 2008-present (as Decade of Pain),0,0
Deserter,Belgium,Active,2009,Thrash/Death Metal,Radioactivity| Chaos| Warfare| Thrash,2009-present,1,290
Deserto,Mexico,Active,2012,Doom/Death Metal,Bleak| Solitude| Darkness| Witchery,2012-present,0,0
Desertors,Honduras,Active,2012,Thrash/Death Metal,Unknown,2012-present,0,0
DesExult,Denmark,Split-up,1986,Death/Thrash Metal,Unknown,1984-1986 (as Samhain)| 1986-?,0,0
Desgraceria,Brazil,Active,2007,Death Metal/Grindcore,Hate| Nonconformism| Anti-fascism,2007-present,0,0
Desicate,Japan,Active,2002,Death/Thrash Metal,Unknown,2002-present,0,0
Desiccant,United States,Active,1999,Death/Thrash Metal,Unknown,1999-present,0,0
Desideratum,Mexico,Changed name,2003,Black/Death Metal,Nationalism| Satanism| Gore,2003-2005| 2005-present (as Devourer),0,0
Designs of Chaos,United Kingdom,Active,2010,Melodic Death Metal| Metalcore,Unknown,2010-present,0,0
Desincarnated,France,Split-up,n,Black/Death Metal,Unknown,,0,0
Desire,Portugal,Split-up,1994,Doom/Death Metal,Sadness| Grief| Desolation| Love| Death,1992 (as Cadaver Corpse)| 1992-1994 (as Incarnated)| 1994-2015,4,666
Desired Death,Germany,Split-up,n,Doom/Death Metal,Unknown,,0,0
Desmodus,Spain,Split-up,1994,Black/Death Metal,Unknown,1994-2000,0,0
Desmodus Rothundus,Brazil,Split-up,1990,Death/Doom Metal,Unknown,1990-?,0,0
Desolacion,Mexico,Split-up,1998,Thrash/Death Metal,Destruction| Atheism| Emotions,1998-2009,0,0
Desolate,France,Split-up,1993,Death/Doom Metal,Unknown,1993-?,0,0
Desolate,Spain,Active,2015,Death/Sludge Metal,Hate| lose of human conscience,2015-present,0,0
Desolate,United Kingdom,Split-up,1992,Doom/Death Metal,Emotions| Sorrow,1992-?,0,0
Desolate Demise,United States,Active,2004,Thrash/Death Metal,Death| Murder| Doom| Hate,2004-present,0,0
Desolate One,United States,Split-up,2008,Black/Death Metal,War| Evil| Death,2008-?,0,0
Desolation,Brazil,Split-up,1987,Death/Thrash Metal,World Issues| Politics,1987-?,0,0
Desolation,Greece,On hold,1989,Black/Death Metal,Satanism| Anti-christianity| Death| Blasphemy,1989-1991| 1991-2003 (as Ethereal)| 2003-present,0,0
Desolator,Australia,Split-up,2004,Thrash/Death Metal,Death| Hatred| War,2002-2004 (as Derisory)| 2004-?,7,1515
Desosser,Colombia,Active,2007,Death Metal/Grindcore,Death| violence| gore,2007-present,0,0
Desoulment,United States,Split-up,2010,Death/Thrash Metal,Warfare| Sadness| Anger,2010-2012,0,0
Despair,Costa Rica,Active,2009,Death/Groove Metal,Insanity| Grudge| Dementia| Schizophrenia| etc.,2009-present,0,0
Despairance,Malaysia,Unknown,2000,Death/Thrash Metal,Unknown,2000-?,0,0
Desperate Cry,United States,Split-up,1995,Thrash/Death Metal,Society| Personal Issues,1995-?,0,0
Desperate Desire,Czech Republic,Active,1995,Doom/Death Metal,Unknown,1995-present,0,0
Desperation,Germany,Split-up,1987,Death/Thrash Metal,Unknown,1987-?,0,0
Desperator,Sweden,Unknown,1998,Death Metal/Grindcore,Unknown,1997-1998 (as Strhate Edge)| 1998-?,0,0
Despicable,Germany,Active,2009,Death/Thrash Metal,Political Themes| Animal Rights| Human Problems| War,2009-present,0,0
Despirited,Canada,Split-up,2000,Black/Death Metal,Unknown,2000-?,0,0
Despise & Conquer,Germany,Split-up,2008,Death/Thrash Metal,Unknown,2008-2014,0,0
Despised,Turkey,Split-up,2003,Death Metal/Grindcore,Gore stories,2003-?,0,0
Despond Womb,Syria,Active,2008,Death/Doom Metal,Memories Past| Pain,2008-present,0,0
Despondency,United States,Active,1994,Death/Doom Metal,Unknown,1994-present,0,0
Despondent Chants,Peru,Active,2003,Doom/Death Metal,Death| Depression| Sadness| Chaos,2003-present,1,229
Despotic,Germany,Active,1997,Death/Thrash Metal,Unknown,1997-present,0,0
Despotic Hate,Brazil,Active,2013,Thrash/Death Metal,Self-Destruction| Depression| Philosophy,2013-present,0,0
Despotic Robot,United States,Changed name,2005,Thrash/Death Metal,Humor| Video Games| Thrash,2005-2007| 2007-present (as Ramming Speed),0,0
Desterrador,Italy,Active,2003,Death/Thrash Metal,Unknown,2003-present,0,0
Destheria,Malaysia,Active,2001,Grindcore/Death Metal,Slaughter| Banishment| War| Hate| Mankind,1998-2001 (as Perspicious Paradox)| 2001-2009| 2012-present,0,0
Destiny,Belarus,Changed name,1995,Doom/Death Metal,Unknown,1995-1999| 1999-2002 (as Diathra)| 2004-present (as Diathra),0,0
Destroy Kranium,Argentina,Split-up,n,Death Metal/Grindcore,Unknown,,0,0
Destroy the Opposition,United States,Active,2006,Death Metal/Deathcore,Unknown,2006-present,0,0
Destroyer Kult,Argentina,Active,2012,Death/Thrash Metal,Destruction,2012-present,0,0
Destroyer of Lie,Ukraine,Active,n,Black/Death Metal,Christianity,,0,0
Destruction of Bodies,Brazil,Active,2004,Death/Thrash Metal,Guerra|atrocidades e podridão da raça humana,2004-present,0,0
Destructive Explosion of Anal Garland,Czech Republic,Active,2005,Grindcore/Death Metal,Sex| Gore,2005-present,0,0
Destructrum,Finland,Active,2007,Black/Death Metal,Unknown,2007-present,0,0
Destrukto,Sweden,Split-up,2003,Black/Death Metal,biblical devil worship| death| war| suffering,2003-2005,0,0
Destruktor,Australia,Active,1997,Black/Death Metal,Satanism| Death| Armageddon| Blasphemy,1990-1995 (as Damned for Eternity)| 1995-1996 (as Aphasia)| 1997-present,7,4620
Desulphurize,Greece,Changed name,1993,Doom/Death Metal,Unknown,1993-1994| 1994-1998 (as Elysian Fields)| 1998-2010 (as The Elysian Fields),0,0
Deterioration,Brazil,Split-up,1991,Death Metal/Grindcore,Politic,1991-?,0,0
Deterrence,Canada,Active,2002,Death Metal/Metalcore,Unknown,2002-present,0,0
Deterrent,United Kingdom,Active,2003,Thrash/Death Metal,Horror| Torture| Sex| Anti-Christian,2003-present,0,0
Detest,Belgium,Active,2007,Black/Death Metal,Unknown,2007-present,8,1258
Dethmor,Portugal,Active,1998,Death/Thrash Metal,Death| Apocalypse| Occultism,1998-present,0,0
Dethmute,Singapore,Unknown,1992,Death/Thrash Metal,Unknown,1992-1996 (as Bloodbath)| 1996-?,0,0
Dethorned,United States,Split-up,2010,Death/Thrash Metal,Unknown,2010-2014,0,0
Dethrone,Sweden,Active,2011,Thrash/Death Metal,Unknown,2011-present,2,713
Dethrone Humanity,United States,Split-up,2010,Death/Thrash Metal,Anti-religion| Politics| Social issues| Death,2010-2013,0,0
Dethroned,Lebanon,Unknown,2007,Doom/Death Metal,Ignorance| Occultism| Darkness| Love,2007-?,0,0
Dethroned Emperor,United States,Split-up,2010,Death Metal/Grindcore,Negativity| Pessimism| Violence| Social Commentary| Apocalypse| Death,2010-2015,0,0
Dethroned in Ruins,Germany,Active,2010,Death Metal/Deathcore,Unknown,2010-present,0,0
Dethroner,Poland,Changed name,1987,Death/Black Metal,Unknown,1987-?| ? (as Slavecord)| ?-? (as Enormity),0,0
Dethshit,United States,Split-up,1988,Grindcore/Death Metal,Unknown,1988-1992,0,0
Dethtoll,United States,Split-up,n,Death/Thrash Metal,Unknown,,0,0
Detonathrash,Canada,Split-up,n,Death/Thrash Metal,Unknown,,0,0
Detriment Sorrow,Spain,Split-up,2005,Black/Death Metal,Hate| Satanism| Misanthropy,2005-2008,0,0
Deus Castiga,Brazil,Active,2006,Grindcore/Death Metal,Unknown,2006-present,0,0
Deus ex Tenebris,Italy,Split-up,2005,Black/Death Metal,Obscurity| Darkness,2005-2011,0,0
Deus Infestus,Greece,Active,n,Black/Death Metal,Unknown,,0,0
Deus Irae,Italy,Unknown,2005,Death/Thrash Metal,Unknown,2005-?,0,0
Deus Mortuus,Ireland,Active,2012,Death/Thrash Metal,Unknown,2012-present,0,0
Deus Otiosus,Denmark,Active,2005,Death/Thrash Metal,Death| Horror| Occultism| Torment,2005-present,1,474
Devast,Czech Republic,Active,n,Death Metal/Grindcore,Unknown,,0,0
Devastación,Argentina,Active,1987,Death/Thrash Metal,Social| Peronism,1987-present,0,0
Devastation,Canada,Split-up,2005,Black/Death Metal,Nuclear Warfare| Genocide| Violence| Satanism,2005-2011,19,11408
Devastation,United States,Split-up,1986,Death/Thrash Metal,Violence| Death| Destruction,1986-1987,19,11408
Devastation Now,Germany,Active,2009,Death Metal/Deathcore,White Pride| Politics| Violence,2009-present,0,0
Devastazed,Mexico,Active,2009,Death/Thrash Metal,Dead| Evil| Satan,2009-present,0,0
Devastor,Brazil,Split-up,1986,Death/Thrash Metal,Unknown,1985-1986 (as Tormentor)| 1986-1988,0,0
Devastor,Czech Republic,Split-up,1990,Death Metal/Grindcore,Humour| Social themes,1990-?,0,0
Deviancy,Italy,Split-up,2009,Death/Thrash Metal,Unknown,2005-2008 (as Rust)| 2009-2012,0,0
Deviant,France,Active,2008,Death/Groove Metal,Unknown,2008-present,0,0
Deviant,Japan,Split-up,n,Thrash/Death Metal,Unknown,,0,0
Deviant Messiah,France,Split-up,2007,Black/Death Metal,Antireligious| Gore| Insanity,2007-2014,0,0
Deviant Pulse,Italy,Active,2007,Death Metal/Grindcore,Unknown,2007-present,0,0
Deviant Souls,Germany,Unknown,n,Death/Groove Metal,Unknown,,0,0
DeviaThor,Poland,Active,2003,Death/Thrash Metal,Inner Struggle| Religion,2003-present,0,0
Device,Brazil,Active,2004,Death/Thrash Metal,Anti-Christianity| Death| War| Society,2004-present,0,0
Devil Ancestry,Australia,Active,n,Black/Death Metal,Unknown,,0,0
Devil Host,France,Active,1996,Death/Thrash Metal,Unknown,1996-present,0,0
Devil Inside,Spain,Split-up,2005,Thrash/Death Metal,Murderers| Genocides| Death,2005-2012,0,0
Devil's Advocates,Finland,Active,2005,Death/Black Metal,Anti-religion| Atheism| Philosophical Satanism,2005-present,0,0
Devil's Bridge,Slovenia,Active,2010,Death/Thrash Metal,Unknown,2010-present,0,0
Devil's Furnace,Slovakia,Split-up,2008,Death/Black Metal,Unknown,2008-?,0,0
Devilish,Finland,Split-up,1998,Thrash/Death Metal,Anti-religion| Apocalypse| Horror,1998-?,0,0
Devilish,Portugal,Split-up,1995,Thrash/Death Metal,Unknown,1995-?,0,0
Devilish Decibels,Finland,Changed name,2000,Doom/Death Metal,Unknown,2000-2002| 2002-present (as Blueprint Human Being),0,0
Devilkin Assailant,United States,Active,2010,Death Metal/Crossover,Death| Murder| Horror stories,2010-2011 (as Rebel Headz)| 2011-present,0,0
Devilmakesthree,United Kingdom,Active,2002,Progressive/Death Metal,Unknown,2002-present,0,0
Devilry,Finland,Active,1998,Black/Death Metal,Satanic (Early)| Anti-Christian/Islam| NS (later),1998-present,0,0
Devils Drunks,Argentina,Active,n,Thrash/Death Metal,Unknown,,0,0
Devious,Netherlands,Split-up,1998,Thrash/Death Metal,Concealed Hate| Fate| Myths| Mental Illness,1998-2014,0,0
Devoid,India,Active,2005,Thrash/Death Metal,Anti-Establishment| Religion| Warfare,2005-present,0,0
Devorce,Norway,Split-up,1990,Death/Thrash Metal,Unknown,1990-1995,0,0
Devour,Japan,Active,2003,Death/Thrash Metal,Unknown,2003-present,0,0
Devour,United States,Split-up,1991,Death Metal with Progressive influences,Unknown,?-1994| 1991-1994| 1991-?,0,0
Devour the Blessed,Germany,Active,2011,Death Metal/Goregrind,Violence| Terror| Nihilism,2011-present,0,0
Devoured Christ,Germany,Active,2012,Black/Death Metal,Religions| Satanism| Gore,2012-present,0,0
Devoured Dark,Ecuador,Split-up,n,Black/Death Metal,Unknown,,0,0
Devourer,Mexico,Active,2005,Death Metal/Grindcore,Gore| perversion,2003-2005 (as Desideratum)| 2005-present,0,0
Devourer,United Kingdom,Split-up,2003,Death/Black Metal,Hatred| Destruction| Desolation,2003-?,0,0
Devouring Star,Finland,Active,n,Black/Death Metal,Satanism| Chaos,,0,0
Devout,New Zealand,Active,1995,Death/Doom Metal,Christianity,1995-present,0,0
Dew-Scented,Germany,Active,1992,Thrash/Death Metal,Violence| Societal Decay| Anger,1992-present,17,9005
Dewastemind,Czech Republic,Split-up,2007,Thrash/Death Metal,Unknown,2007-2010,0,0
Dezakrate,Australia,Unknown,1996,Thrash/Death Metal,Unknown,1996-?,0,0
Dhark Death,Brazil,Active,2005,Thrash/Death Metal,Unknown,2005-present,0,0
Di.Soul.Ved,Portugal,Active,2014,Grindcore/Death Metal,Religion| Space| Visions| Feelings,2014-present,0,0
Diabholico,Canada,Active,2010,Death/Thrash Metal,Human Psyche| Modern Society| War| Philosophy.,2010-present,0,0
Diablerie,Brazil,On hold,1999,Death/Thrash Metal,Violence| Death| Human Reality,1999-present,0,0
Diablop,Poland,Split-up,2003,Death/Thrash Metal,Unknown,2003-?,0,0
Diabolic Force,Brazil,Active,2001,Death/Thrash Metal,Satan| Anti-Christian| Evil,2001-present,0,0
Diabolic Grief,Japan,Split-up,n,Death/Black Metal,Unknown,,0,0
Diabolical,Sweden,Active,1998,Death/Thrash Metal,Death| Apocalypse,1996-1998 (as Misanthropic Orchestra)| 1998-present,17,7376
Diabolical Domination,Japan,Split-up,n,Death/Black Metal,Unknown,,0,0
Diabolical Holocaust,Chile,Changed name,2008,Death/Black Metal,War| Terrorism| Violence,2008| 2008-present (as Diabolikal),0,0
Diabolical Imperium,Germany,Split-up,1997,Thrash/Death Metal,Anti-Christianity,1997-2015,0,0
Diabolical North Klanum,Russia,Active,2003,Death/Black Metal,Satanic| Anti-Religious,2003-present,0,0
Diabolicus,United States,Split-up,1988,Death/Thrash Metal,War| Crime| Insanity| Legal Injustice| Death,1987-1988 (as Gravelord)| 1988-1990,0,0
Diabolikal,Chile,Active,2008,Death/Black Metal,Satanism| Rituals,2008 (as Diabolical Holocaust)| 2008-present,0,0
Diabolism,Bulgaria,Split-up,1994,Black/Death Metal,Paganism,1994-2003| 1994-?,0,0
Diabolist,Germany,Active,2006,Death/Thrash Metal,Unknown,2006-present| 2013-present,0,0
Diabolist,Japan,Changed name,2000,Doom/Death Metal,Satanism| Anti-Religion| Horror,1996-1999 (as Pagan Invader)| 2000-2008| 2000-present| 2008-present (as Brimstone Fist),0,0
Diabolium,Finland,Split-up,n,Black/Death Metal,Darkness| Blasphemy| Misanthropy,,0,0
Diachronia,Poland,Split-up,1997,Death/Black Metal,Unknown,1997-?,0,0
Diagnose,Brazil,Split-up,1997,Grindcore/Death Metal,Society,1997-2012,0,0
Dianthus,Poland,Changed name,2007,Death/Thrash Metal,Unknown,2007-2011| 2011-2016 (as Dysphoria),0,0
Diaries of Jeremiah,Sweden,Active,n,Black/Death Metal,Unknown,,0,0
Diaroe,Germany,Active,2005,Grindcore/Death Metal,Gore| Feces,2005-present,0,0
Diarrhea Till You Die,United States,Split-up,2006,Death Metal/Grindcore,Apocalypse| Society,2006-?,0,0
Diatort,Brazil,Active,1993,Death/Thrash Metal,Death| Politics| War| Society,1993-present,0,0
Diave,Poland,Split-up,1995,Doom/Death Metal,Unknown,1995-?,0,0
Dicephalus,Brazil,Active,2002,Death Metal/Goregrind,Pathology| Gore/Splatter| Decomposition| Diseases,2002-present,0,0
Dickless Tracy,Slovenia,Active,1997,Grindcore/Death Metal,Reality's horrors and extinction of mankind,1997-present,0,0
Dicksaw,Germany,Active,2000,Death Metal/Grindcore,Sex| Pornography,2000-present,0,0
Dicktator,Finland,Split-up,1989,Death/Thrash Metal,Gore| Infamy,1989-?,0,0
Dictator,Indonesia,Unknown,2002,Death/Thrash Metal,Political,2002-?,0,0
Dictator,Malaysia,Active,2000,Death/Thrash Metal,Unknown,2000-present,0,0
Dictatoreyes,Italy,Active,1999,Black/Death Metal,War,1999-2008| 2015-present,0,0
Die,Italy,Split-up,1992,Death/Thrash Metal,Unknown,1992-?,0,0
Die Alone,United States,Split-up,2001,Death Metal/Metalcore,Pessimism,2001-2008,0,0
Die Hard,Sweden,Active,2005,Thrash/Death Metal,Death| Hate,2005-present,0,0
Die in Grey,Germany,Split-up,2005,Death Metal/Metalcore,Unknown,2005-2006| 2008-2011,0,0
Die Laughing,United Kingdom,Split-up,1988,Death/Thrash Metal,Sex| Death| Politics| Religion| Paranoia| Drugs,1988-1993,0,0
Die Silently,Italy,Active,2002,Death/Thrash Metal,Unknown,2002-present,0,0
Die Vorboten,Germany,Active,2009,Death/Folk Metal,Unknown,2000-2009 (as Kingdom Gone)| 2009-present,0,0
Dieland,Belarus,Split-up,n,Doom/Death Metal,Sorrow| Despair,,0,0
Diementia,United Kingdom,Active,2008,Death/Thrash Metal,Unknown,2008-present,0,0
Diemona,United States,Split-up,2006,Death/Thrash Metal,Unknown,2006-?,0,0
Dieode,Australia,Split-up,n,Death/Thrash Metal,Unknown,,0,0
Dies Irae,Greece,Split-up,1994,Death/Thrash Metal,Unknown,1994 (as Headcleaner)| 1994-1997,6,2471
Dies Irae,Hungary,Split-up,n,Thrash/death Metal,Unknown,,6,2471
Dies Irae,Romania,Changed name,1995,Death/Black Metal,Unknown,1995-2008| 2008-present (as Warganism),6,2471
Dies Mortem,Bolivia,Active,2001,Death Metal/Grindcore,Christianity,2001-present,0,0
Difenacum,Spain,Split-up,1997,Death Metal/Grindcore,violence| drugs| social criticism,1997-2013,0,0
Difunter,Bolivia,On hold,2004,Death Metal/Grindcore,Death| Gore| Occultism,2004-present,0,0
Difuntos,Venezuela,Active,2005,Death Metal/Grindcore,Gore| darkness| anti-Christianity,2005-present,0,0
Dig,Italy,Active,2010,Black/Death Metal,Unknown,2010-present,0,0
Dig for Mary,United States,Active,2007,Thrash/Death Metal,Unknown,2007-present,0,0
Dig It All,Russia,Split-up,2005,Death/Groove Metal,Aggressive attitude| Inner struggles,2005-?,0,0
Digerdöd,Sweden,Split-up,2005,Death/Black Metal,Apocalypse| Northern Heritage| War,2005-?,0,0
Dilapidation,United States,Active,2012,Death/Doom Metal,Death| Necromancy| Lovecraft| The occult,2012-present,0,0
Dilemma,Chile,Split-up,n,Death/Doom Metal,Psyche,,0,0
Dim Vision,Hungary,Split-up,2000,Black/Death Metal,Unknown,2000-2013,0,0
Dimension of Doomed,Russia,Split-up,2000,Death/Black Metal,Darkness| Occult,2000-2010,0,0
Dimentianon,United States,Active,2002,Death/Black Metal,Death| Anti-religion| Space| Killing| Philosophy,1995-2002 (as The Forgotten)| 2002-present,0,105
